Landmark	X	Y
1	142.97154899894625	108.17281348788197
2	209.46680716543727	100.48472075869336
3	162.79873551106428	149.8503688092729
4	212.43414120126448	148.50158061116963
5	208.65753424657532	151.7386722866175
6	198.9462592202318	195.16965226554265
7	199.21601685985246	202.72286617492097
8	196.24868282402528	209.19704952581662
9	134.74394099051634	178.44467860906215
10	201.10432033719704	144.45521601685985
11	206.76923076923075	174.93782929399367
12	192.47207586933612	188.695468914647
13	204.61116965226552	170.62170706006322
14	178.1749209694415	167.65437302423604
