 ,Area,Mean,Min,Max,X,Y
1,0,188,188,188,1399.000,909.000
2,0,160,160,160,2040.556,773.694
3,0,154,154,154,1530.996,1319.852
4,0,157,157,157,2125.013,1288.884
5,0,155,155,155,2071.523,1356.450
6,0,138,138,138,2057.447,1725.248
7,0,133,133,133,2096.861,1863.195
8,0,143,143,143,2079.969,1896.978
9,0,102,102,102,1353.635,1685.834
10,0,203,203,203,1964.544,1305.776
11,0,140,140,140,2113.752,1564.779
12,0,206,206,206,1964.544,1747.770
13,0,230,230,230,2071.523,1516.919
14,0,140,140,140,1874.456,1514.104
