 ,Area,Mean,Min,Max,X,Y
1,0,155,155,155,1428.000,903.000
2,0,173,173,173,2242.151,783.405
3,0,189,189,189,1707.050,1366.222
4,0,125,125,125,2289.500,1331.500
5,0,157,157,157,2239.500,1389.500
6,0,160,160,160,2241.500,1829.500
7,0,134,134,134,2271.500,1945.500
8,0,130,130,130,2245.500,2013.500
9,0,86,86,86,1425.500,1733.500
10,0,209,209,209,2179.500,1391.500
11,0,140,140,140,2287.500,1631.500
12,0,212,212,212,2205.500,1779.500
13,0,232,232,232,2265.500,1601.500
14,0,179,179,179,1983.500,1587.500
