 	Area	Mean	Min	Max	X	Y
1	0	171	171	171	1461.000	891.000
2	0	194	194	194	2195.500	779.500
3	0	194	194	194	1700.500	1379.500
4	0	81	81	81	2303.500	1367.500
5	0	124	124	124	2270.500	1439.500
6	0	128	128	128	2192.500	1901.500
7	0	156	156	156	2249.500	2048.500
8	0	137	137	137	2225.500	2099.500
9	0	156	156	156	1358.500	1712.500
10	0	164	164	164	2222.500	1442.500
11	0	162	162	162	2339.500	1673.500
12	0	184	184	184	2177.500	1844.500
13	0	210	210	210	2309.500	1667.500
14	0	189	189	189	1958.500	1625.500
